feature_group	feature	OfficeEMR	CyramedX	Chart Online	Perfect Care	CareQuotient	Practice Today EMR	Pulse Complete	RemedyEHR	Clicks	SequelMed
Solutions Available	Medical Billing	1	1	0	1	1	1	0	1	0	1
Solutions Available	Patient Scheduling	1	1	0	0	0	1	0	1	0	1
Solutions Available	Practice Management	1	1	0	1	1	1	1	1	0	1
Solutions Available	Electronic Medical Records	1	1	1	1	1	1	1	1	1	1
Features	API Available	1	0	1	0	0	0	0	0	0	0
Features	Claim Scrubber	1	1	0	0	1	0	0	0	0	1
Features	Credit Card Processing	0	0	0	0	0	0	1	0	0	0
Features	Document Management	1	0	1	1	1	1	1	1	1	1
Features	E-Prescribing	1	1	0	1	0	1	1	1	0	1
Features	Electronic Remittance Advice	1	0	0	0	0	0	0	0	0	0
Features	Insurance Verification	1	0	0	0	0	1	0	1	0	0
Features	Lab Orders and Results	1	1	0	1	0	1	1	1	1	1
Features	Online Booking	1	1	0	0	0	0	0	1	1	1
Features	Patient Portal	1	1	0	0	1	1	1	0	0	1
Features	Reporting Dashboard	1	1	0	1	1	0	1	1	1	1
Features	Speech Recognition	1	0	0	0	0	0	0	0	0	0
