feature_group	feature	Bitrix24	VivifyScrum	EasyData	Scopidea	TALAIA OpenPPM	Cleopatra Enterprise	TeamHub	Admation	NQI Orchestra	Airtable
Traditional Project Management	Calendar	1	0	0	1	0	0	1	1	1	1
Traditional Project Management	Cross Project Dependencies	0	0	0	0	0	0	1	0	1	1
Traditional Project Management	Gate Review Process	0	0	0	0	0	0	0	0	1	0
Traditional Project Management	Interactive Gantt Charts	1	0	0	0	0	0	1	0	1	0
Traditional Project Management	Project Hierarchy	0	0	0	0	1	0	0	1	1	0
Traditional Project Management	Project Portfolio Management	0	0	0	0	1	0	1	1	1	0
Traditional Project Management	Project Templates	1	0	0	0	1	0	0	1	1	1
Traditional Project Management	Risk/Benefit Analyzer	0	0	0	0	0	0	1	0	1	0
Traditional Project Management	Scheduling	1	0	0	0	1	0	1	1	1	0
Traditional Project Management	Supports Multiple Projects	0	0	0	0	1	1	1	0	1	1
Agile Project Management	Burndown Charts	0	1	0	1	0	0	0	0	1	0
Agile Project Management	Card View	0	0	0	0	0	0	0	0	1	0
Agile Project Management	Cycle Time Analytics	0	0	0	0	0	0	0	0	0	1
Agile Project Management	Kanban	0	1	0	0	0	0	0	0	1	0
Agile Project Management	Manage Product Backlog	0	1	0	0	0	0	1	0	1	1
Agile Project Management	Scrum Methodology	0	1	0	1	0	0	0	0	0	1
Agile Project Management	User Stories	0	0	0	1	1	0	1	0	1	0
Agile Project Management	Version Control	0	0	0	1	0	1	0	1	1	0
Task Management	Add Recurring Tasks	1	0	1	0	0	0	1	1	1	0
Task Management	Assign Stakeholders	1	0	0	0	0	0	1	1	1	1
Task Management	Group Tasks by Projects	0	0	1	0	0	0	1	1	1	1
Task Management	Task History	1	0	1	1	0	1	1	1	1	1
Task Management	To-Do List	1	1	1	1	0	0	1	1	1	1
Task Management	Set Priorities	1	1	1	1	1	1	1	1	1	1
Issue Tracking	Code Integration	0	0	0	0	0	0	0	0	1	0
Issue Tracking	Escalation Management	0	0	0	0	0	1	1	0	1	0
Issue Tracking	Issue History	0	0	0	1	1	1	1	0	1	1
Issue Tracking	Multiple Workflows	1	0	0	1	0	1	1	0	1	1
Collaboration	Create Teams/Groups	1	1	1	0	0	0	1	1	1	1
Collaboration	Document Management	1	0	1	1	1	1	1	1	1	1
Collaboration	Forums	1	0	0	0	0	1	1	0	0	1
Collaboration	Messaging or Instant Messaging	1	0	0	1	1	1	1	0	0	1
Collaboration	RSS Feed	0	0	0	0	0	0	1	0	1	0
Collaboration	Social Collaboration Platform	1	0	1	0	0	0	1	0	1	1
Collaboration	Web Conferencing	1	0	0	0	0	1	0	0	0	0
Collaboration	Wiki	0	0	0	0	0	1	1	0	0	0
Resource Management	Allocate Resource by Skill Sets	0	0	0	0	1	0	1	1	1	0
Resource Management	Cross Project Resource Allocation	0	0	0	1	0	1	1	1	1	0
Resource Management	Forecast Resource Needs	0	0	0	0	1	1	0	1	1	0
Resource Management	User/Role Based Permissions	1	1	0	1	1	1	1	1	1	1
Budget and Expenses	Create Budgets	0	0	0	1	0	1	1	0	1	1
Budget and Expenses	Forecast Budgets	0	0	0	1	0	1	1	0	1	1
Budget and Expenses	Manage Expenses	0	0	0	1	1	1	1	0	1	1
Budget and Expenses	Set Hourly Rates	0	0	0	1	1	1	1	0	1	0
Budget and Expenses	Track Burn Rate	0	0	0	0	0	1	1	0	1	1
Budget and Expenses	Track Project Hours	1	1	0	1	1	1	1	1	1	1
Budget and Expenses	Track Staff Hours	0	0	0	1	1	1	1	1	1	1
Reporting	Custom Reports	1	0	0	1	1	1	1	0	1	1
Reporting	Dashboard	0	1	0	1	1	1	1	1	1	0
Reporting	Financial Reports	0	0	0	1	1	1	1	0	1	1
Reporting	Resource Reports	1	0	0	1	1	1	1	1	1	1
Notifications	Custom Notifications	1	1	1	1	1	1	1	1	1	0
Notifications	Email Integration	1	1	1	1	1	0	0	1	1	1
Notifications	Notification Groups	0	0	0	0	0	0	1	1	1	1
Notifications	SMS Notifications	0	0	1	1	0	0	0	0	0	1
Customization	Curated Features	0	0	0	0	0	0	0	0	1	1
Customization	Custom Fields	1	1	0	1	1	1	1	1	1	1
Customization	Custom Labels	0	1	0	1	0	1	1	1	1	1
Customization	Custom User Interface	0	0	0	1	0	1	0	0	1	0
Customization	Software Development Kit	0	0	0	0	0	0	0	0	1	0
Learning and Support	24/7	0	1	0	1	0	0	0	0	0	0
Learning and Support	Blog	1	1	0	1	0	1	1	1	1	1
Learning and Support	Brochures	0	0	0	0	1	0	1	0	1	0
Learning and Support	Email	0	1	1	1	1	1	1	1	1	1
Learning and Support	FAQ	1	0	0	1	0	1	0	0	1	1
Learning and Support	Forums	0	0	0	0	0	0	1	0	1	1
Learning and Support	Help Desk	1	0	0	1	1	1	0	1	1	1
Learning and Support	Instructional Videos	1	0	0	0	0	1	1	0	1	1
Learning and Support	Knowledge base	1	0	0	0	0	1	0	0	1	1
Learning and Support	Live chat	0	0	0	0	0	0	0	0	0	1
Learning and Support	Mailing List	0	0	0	0	1	0	0	0	0	0
Learning and Support	Normal business hours	0	0	0	0	0	1	1	0	1	0
Learning and Support	On-site	0	0	0	0	0	0	0	0	1	0
Learning and Support	Online self serve	0	0	0	0	0	0	0	1	1	0
Learning and Support	Owner's/User Manual	1	0	0	0	0	1	0	0	1	1
Learning and Support	Phone	0	0	1	0	1	1	0	0	1	0
Learning and Support	Recorded demos	0	0	0	0	1	0	0	1	1	0
Learning and Support	Remote Training	0	0	0	0	1	1	0	0	1	0
Learning and Support	Request form	0	0	0	0	0	0	0	1	1	0
Learning and Support	System upgrades	0	0	0	0	0	1	0	0	0	0
Learning and Support	Tips and hints	0	1	0	0	0	0	0	0	0	0
Learning and Support	Webinars	1	0	0	0	1	0	0	1	1	0
Learning and Support	White papers	0	0	0	0	0	0	1	1	1	0
Learning and Support	Wiki	0	0	0	0	0	0	0	0	1	0
